EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,JobRole,MonthlyIncome,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,AttritionRiskScore,RiskCategory,PredictedAttrition,EstReplacementCost
22,52,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,Female,1,3,Laboratory Technician,8972,Divorced,1,No,17,3,1,27,2,2,8,1,22.9,Low,No,0.0
23,43,No,Travel_Rarely,Research & Development,1,2,Marketing,2,Male,3,2,Manager,7460,Divorced,0,Yes,11,3,0,19,4,2,3,3,52.8,Medium,Yes,0.0
24,18,Yes,Travel_Rarely,Research & Development,2,3,Medical,1,Female,1,1,Laboratory Technician,5811,Married,1,No,11,3,0,0,1,1,0,0,56.3,Medium,Yes,34866.0
25,18,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,4,Manufacturing Director,7896,Married,4,Yes,11,3,1,0,2,2,0,0,45.4,Medium,No,0.0
26,39,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,Male,2,3,Research Scientist,7647,Married,2,No,11,3,1,15,5,1,3,1,36.0,Medium,No,0.0
27,41,No,Travel_Rarely,Research & Development,4,3,Life Sciences,4,Male,3,1,Research Director,9031,Married,4,No,14,3,1,21,3,4,3,1,16.8,Low,No,0.0
28,51,No,Travel_Rarely,Research & Development,14,2,Human Resources,3,Female,3,2,Research Director,6655,Single,4,No,11,3,1,30,2,3,0,0,37.0,Medium,No,0.0
29,43,No,Travel_Rarely,Research & Development,20,4,Human Resources,2,Female,1,1,Manager,6356,Married,3,No,13,3,2,21,2,3,0,0,42.2,Medium,No,0.0
30,45,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Female,4,2,Manager,2854,Divorced,0,No,14,3,1,21,1,1,2,2,41.5,Medium,No,0.0
31,27,No,Travel_Rarely,Research & Development,29,3,Life Sciences,2,Female,2,3,Manufacturing Director,10455,Single,1,Yes,13,3,0,6,2,4,6,0,24.4,Low,No,0.0
32,46,No,Non-Travel,Research & Development,1,2,Medical,3,Male,3,4,Healthcare Representative,9539,Married,2,Yes,13,3,0,24,3,3,14,1,17.7,Low,No,0.0
33,34,No,Travel_Rarely,Research & Development,16,3,Medical,2,Female,3,3,Manufacturing Director,5486,Divorced,3,No,15,3,2,9,4,3,1,0,36.2,Medium,No,0.0
34,40,No,Travel_Rarely,Research & Development,1,2,Marketing,2,Female,1,2,Research Scientist,8034,Divorced,3,No,11,3,2,18,1,1,5,0,31.7,Medium,No,0.0
35,35,No,Travel_Rarely,Research & Development,1,4,Marketing,3,Male,4,4,Laboratory Technician,7683,Married,0,No,12,3,0,14,5,4,2,1,15.8,Low,No,0.0
36,36,No,Travel_Rarely,Research & Development,1,1,Marketing,3,Female,1,3,Research Director,8526,Single,2,No,11,3,1,11,1,1,2,2,24.2,Low,No,0.0
37,39,Yes,Travel_Rarely,Research & Development,7,5,Medical,1,Male,4,3,Research Scientist,4481,Married,1,Yes,20,3,1,18,2,3,5,0,56.1,Medium,Yes,26886.0
38,48,No,Travel_Rarely,Research & Development,3,3,Human Resources,4,Female,2,2,Research Director,7323,Single,0,No,13,3,2,26,0,2,2,2,32.6,Medium,No,0.0
39,48,Yes,Travel_Rarely,Research & Development,10,2,Marketing,1,Male,4,2,Manager,5661,Married,5,No,14,3,3,24,3,1,2,1,61.5,High,Yes,33966.0
40,31,No,Travel_Rarely,Human Resources,3,1,Medical,1,Male,3,3,Human Resources,8703,Divorced,1,No,13,3,1,11,4,1,1,1,23.7,Low,No,0.0
41,35,No,Travel_Rarely,Sales,15,1,Life Sciences,4,Male,1,2,Sales Representative,7845,Married,1,Yes,15,3,1,15,4,3,2,0,42.5,Medium,No,0.0
42,44,No,Travel_Rarely,Research & Development,17,4,Marketing,3,Male,2,2,Research Director,9976,Divorced,8,No,13,3,2,23,1,3,7,2,11.7,Low,No,0.0
43,42,No,Travel_Rarely,Research & Development,1,5,Technical Degree,2,Female,1,1,Laboratory Technician,8364,Divorced,5,No,19,3,0,24,6,2,7,0,23.2,Low,No,0.0
44,25,No,Travel_Rarely,Sales,8,2,Life Sciences,1,Female,4,4,Sales Executive,6961,Single,1,No,12,3,0,3,4,3,3,0,36.5,Medium,No,0.0
45,40,No,Travel_Rarely,Research & Development,1,5,Marketing,2,Female,4,1,Manufacturing Director,9897,Divorced,2,Yes,11,3,0,18,1,4,7,4,17.6,Low,No,0.0
46,45,No,Travel_Rarely,Sales,1,3,Other,1,Female,2,2,Sales Representative,11848,Single,6,No,21,3,2,21,2,1,18,3,26.6,Low,No,0.0
47,38,No,Travel_Rarely,Sales,5,3,Technical Degree,4,Female,2,1,Sales Executive,8036,Divorced,5,No,13,3,0,17,1,2,4,2,34.7,Medium,No,0.0
48,31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,4,Female,4,1,Laboratory Technician,10103,Divorced,2,No,11,3,1,10,3,4,3,0,10.7,Low,No,0.0
49,25,Yes,Travel_Rarely,Research & Development,7,3,Other,2,Female,4,1,Laboratory Technician,8309,Married,2,Yes,11,3,1,0,2,2,0,0,64.2,High,Yes,49854.0
50,34,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,4,1,Healthcare Representative,6592,Single,3,Yes,13,3,2,8,4,1,0,0,74.7,High,Yes,39552.0
51,25,No,Non-Travel,Research & Development,9,3,Medical,1,Female,3,1,Research Director,6880,Married,1,No,15,3,1,4,2,3,0,0,35.6,Medium,No,0.0
52,33,No,Travel_Rarely,Sales,21,3,Life Sciences,1,Male,2,1,Sales Representative,7553,Single,2,No,15,3,3,10,0,2,5,4,44.7,Medium,No,0.0
53,31,No,Travel_Rarely,Research & Development,2,3,Human Resources,4,Male,1,3,Research Director,8418,Married,6,No,11,3,1,8,1,1,5,3,25.4,Low,No,0.0
54,43,Yes,Non-Travel,Research & Development,11,4,Medical,4,Female,1,3,Laboratory Technician,7216,Divorced,3,Yes,14,4,0,20,1,3,2,1,57.4,Medium,Yes,43296.0
55,28,No,Travel_Rarely,Research & Development,4,2,Marketing,3,Male,1,3,Research Director,7358,Married,3,No,16,3,0,3,4,4,3,1,20.6,Low,No,0.0
56,40,No,Travel_Rarely,Sales,10,4,Medical,1,Male,1,2,Sales Executive,7238,Single,3,No,16,3,2,15,1,3,2,2,46.3,Medium,No,0.0
57,43,No,Travel_Frequently,Research & Development,4,4,Marketing,2,Male,3,2,Laboratory Technician,4672,Married,3,No,19,3,0,18,3,4,0,0,35.3,Medium,No,0.0
58,35,No,Travel_Rarely,Sales,3,3,Marketing,4,Female,1,2,Sales Executive,4146,Married,2,No,11,3,2,14,2,1,5,0,40.9,Medium,No,0.0
59,47,No,Non-Travel,Human Resources,1,4,Other,1,Female,1,2,Manager,10489,Married,1,No,16,3,3,25,3,2,3,2,19.0,Low,No,0.0
60,44,No,Travel_Rarely,Research & Development,1,4,Human Resources,2,Male,2,4,Laboratory Technician,3961,Single,3,No,15,3,0,16,5,4,3,2,30.2,Medium,No,0.0
61,37,No,Travel_Rarely,Research & Development,1,3,Human Resources,1,Male,2,3,Research Director,10083,Married,2,Yes,12,3,0,16,1,3,16,1,17.9,Low,No,0.0
62,30,No,Travel_Rarely,Research & Development,8,4,Medical,3,Male,4,3,Healthcare Representative,9304,Divorced,1,No,20,3,0,11,3,3,1,0,14.7,Low,No,0.0
63,28,No,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,2,2,Research Director,8832,Married,2,No,14,4,3,5,4,1,3,1,20.5,Low,No,0.0
64,47,No,Non-Travel,Research & Development,1,4,Human Resources,4,Male,3,1,Research Scientist,7423,Single,2,No,11,3,0,25,3,2,0,0,39.2,Medium,No,0.0
65,37,No,Travel_Rarely,Sales,2,2,Life Sciences,1,Male,4,2,Sales Representative,9152,Divorced,3,No,11,3,0,13,4,4,11,3,13.7,Low,No,0.0
66,18,No,Travel_Rarely,Sales,6,3,Other,4,Male,3,3,Sales Representative,5496,Divorced,4,No,17,3,2,0,3,4,0,0,24.3,Low,No,0.0
67,39,Yes,Travel_Rarely,Research & Development,11,2,Medical,4,Female,3,1,Healthcare Representative,5734,Single,4,No,12,3,2,20,3,4,4,1,50.5,Medium,Yes,34404.0
68,50,No,Travel_Rarely,Research & Development,3,3,Medical,4,Female,1,2,Manager,7993,Single,3,No,18,3,0,29,2,3,5,3,25.1,Low,No,0.0
69,53,No,Travel_Rarely,Sales,1,3,Other,1,Female,2,4,Sales Representative,8346,Married,4,No,21,3,1,34,1,4,4,2,31.3,Medium,No,0.0
70,53,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,3,3,Manufacturing Director,10038,Divorced,3,Yes,18,3,1,32,5,2,15,0,27.7,Low,No,0.0
71,28,Yes,Travel_Rarely,Research & Development,11,3,Human Resources,2,Female,3,4,Research Director,7080,Single,1,Yes,15,3,1,4,3,2,1,1,67.4,High,Yes,42480.0
72,37,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,4,1,Manager,5041,Divorced,4,No,11,3,0,16,2,2,1,1,56.9,Medium,Yes,0.0
73,32,No,Travel_Rarely,Research & Development,5,4,Medical,1,Male,2,3,Research Scientist,7452,Single,1,Yes,16,3,2,14,5,4,2,2,40.9,Medium,No,0.0
74,30,No,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,4,1,Healthcare Representative,4801,Married,1,No,19,4,1,6,2,3,3,1,31.4,Medium,No,0.0
75,33,No,Travel_Rarely,Sales,7,1,Life Sciences,3,Female,1,1,Sales Representative,6888,Married,2,No,12,3,0,10,4,1,1,1,41.0,Medium,No,0.0
76,36,Yes,Travel_Frequently,Sales,14,3,Medical,3,Female,2,1,Sales Representative,6706,Married,3,Yes,16,3,1,17,5,4,1,1,59.4,Medium,Yes,40236.0
77,28,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,2,1,Laboratory Technician,9069,Single,0,Yes,16,3,3,7,2,1,5,5,32.5,Medium,No,0.0
78,26,Yes,Travel_Frequently,Sales,10,5,Other,1,Female,4,3,Sales Executive,6429,Married,1,No,18,4,1,0,4,4,0,0,32.2,Medium,No,38574.0
79,36,No,Travel_Rarely,Sales,1,5,Medical,3,Male,1,3,Sales Executive,8429,Married,2,No,11,3,0,13,3,4,1,1,16.1,Low,No,0.0
80,23,No,Travel_Rarely,Research & Development,4,4,Life Sciences,2,Male,1,3,Research Scientist,7115,Divorced,2,No,17,3,0,2,1,4,2,2,21.4,Low,No,0.0
81,40,No,Travel_Rarely,Research & Development,1,3,Marketing,1,Female,4,1,Laboratory Technician,7383,Single,1,No,16,3,1,17,4,3,1,1,40.2,Medium,No,0.0
82,20,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,1,1,Sales Representative,5675,Married,1,No,14,3,1,0,4,2,0,0,38.4,Medium,No,0.0
83,33,No,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,1,2,Manager,6037,Married,1,No,16,3,2,12,2,1,5,4,38.9,Medium,No,0.0
84,52,No,Non-Travel,Human Resources,1,3,Life Sciences,2,Male,3,3,Manager,9236,Divorced,1,No,14,3,1,29,3,4,1,1,23.3,Low,No,0.0
85,20,No,Travel_Rarely,Sales,4,2,Life Sciences,4,Male,3,2,Manager,7895,Divorced,2,No,15,3,2,0,1,3,0,0,18.9,Low,No,0.0
86,47,No,Travel_Rarely,Sales,1,3,Medical,2,Male,2,2,Sales Executive,6239,Single,2,No,11,3,3,24,5,1,0,0,52.7,Medium,Yes,0.0
87,36,No,Travel_Rarely,Research & Development,14,4,Medical,3,Male,3,3,Healthcare Representative,9032,Married,2,Yes,17,3,1,14,3,4,3,0,20.5,Low,No,0.0
88,26,No,Travel_Rarely,Research & Development,7,3,Technical Degree,4,Female,1,1,Research Director,8082,Single,1,Yes,14,4,3,4,3,4,4,4,33.0,Medium,No,0.0
89,20,Yes,Travel_Rarely,Sales,7,3,Human Resources,1,Male,1,1,Sales Executive,6287,Single,4,No,22,4,0,1,5,1,1,1,53.2,Medium,Yes,37722.0
90,46,No,Non-Travel,Sales,1,1,Technical Degree,1,Male,4,4,Sales Representative,5110,Married,2,Yes,11,3,2,26,2,4,3,3,38.8,Medium,No,0.0
91,29,No,Travel_Frequently,Sales,24,3,Medical,4,Female,2,2,Manager,6853,Single,0,Yes,13,3,1,6,3,2,6,6,36.5,Medium,No,0.0
92,33,No,Travel_Rarely,Research & Development,4,3,Other,4,Female,4,2,Manager,8034,Married,2,No,16,3,1,11,3,1,2,2,23.9,Low,No,0.0
93,37,No,Travel_Rarely,Research & Development,14,1,Human Resources,3,Female,1,1,Research Scientist,9072,Married,1,Yes,14,3,0,14,6,3,0,0,33.1,Medium,No,0.0
94,25,No,Travel_Rarely,Sales,5,3,Human Resources,1,Female,3,4,Manager,6220,Single,3,No,13,3,1,4,1,3,1,0,32.2,Medium,No,0.0
95,42,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,1,4,Laboratory Technician,5946,Single,3,No,15,4,0,17,1,2,3,3,58.9,Medium,Yes,35676.0
96,32,No,Travel_Rarely,Research & Development,4,5,Technical Degree,1,Female,4,3,Laboratory Technician,8809,Married,1,No,11,4,0,9,0,4,2,1,14.7,Low,No,0.0
97,48,No,Travel_Rarely,Sales,6,4,Life Sciences,1,Female,1,3,Sales Executive,7027,Married,5,No,17,3,1,24,2,1,1,1,51.6,Medium,Yes,0.0
98,31,No,Non-Travel,Sales,23,3,Other,1,Female,1,2,Sales Representative,5366,Married,3,No,11,3,0,6,0,2,6,1,49.7,Medium,No,0.0
99,32,No,Travel_Frequently,Research & Development,1,3,Technical Degree,2,Male,3,1,Laboratory Technician,4905,Single,3,No,23,3,3,10,6,3,1,1,35.3,Medium,No,0.0
100,31,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,2,4,Manager,6915,Divorced,5,No,20,3,0,7,2,1,5,1,42.9,Medium,No,0.0
101,33,No,Travel_Rarely,Research & Development,4,5,Marketing,4,Male,2,4,Manager,9388,Single,1,No,11,4,3,10,3,1,3,2,16.3,Low,No,0.0
102,43,No,Travel_Frequently,Research & Development,10,3,Human Resources,3,Male,3,3,Healthcare Representative,11569,Married,2,Yes,17,3,1,19,5,3,15,0,17.5,Low,No,0.0
103,18,No,Travel_Rarely,Research & Development,16,3,Technical Degree,1,Male,1,1,Manufacturing Director,6369,Divorced,4,No,14,3,0,0,2,1,0,0,52.7,Medium,Yes,0.0
104,28,No,Travel_Rarely,Research & Development,18,4,Other,3,Male,2,3,Research Scientist,7963,Married,3,No,19,3,0,5,3,2,1,0,28.8,Low,No,0.0
105,37,No,Travel_Rarely,Sales,2,4,Human Resources,1,Male,1,3,Sales Executive,8723,Married,8,No,17,3,1,13,3,3,3,1,32.6,Medium,No,0.0
106,36,No,Travel_Rarely,Sales,2,3,Human Resources,3,Female,1,3,Sales Representative,8067,Divorced,4,No,16,3,0,16,4,2,0,0,31.7,Medium,No,0.0
107,31,Yes,Travel_Rarely,Research & Development,4,5,Human Resources,2,Male,4,1,Laboratory Technician,7489,Divorced,1,Yes,15,3,1,8,1,2,1,0,71.5,High,Yes,44934.0
108,44,No,Travel_Rarely,Research & Development,6,5,Life Sciences,4,Male,3,1,Manager,8521,Single,2,Yes,14,3,1,22,4,3,12,0,27.0,Low,No,0.0
109,38,No,Travel_Rarely,Sales,26,2,Medical,3,Male,2,4,Sales Executive,7238,Married,1,No,14,4,3,14,1,4,4,2,20.8,Low,No,0.0
110,43,No,Travel_Rarely,Research & Development,1,3,Medical,3,Female,4,1,Research Scientist,10398,Married,3,No,14,4,2,22,3,1,3,3,21.9,Low,No,0.0
111,39,No,Travel_Rarely,Sales,2,2,Marketing,2,Male,4,4,Manager,9588,Married,1,No,13,3,2,16,2,2,6,0,17.8,Low,No,0.0
112,37,No,Travel_Rarely,Sales,12,3,Human Resources,2,Female,3,4,Sales Representative,7438,Single,3,No,14,4,0,16,3,4,4,1,36.4,Medium,No,0.0
113,30,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,1,3,Healthcare Representative,9354,Married,2,No,13,3,3,6,3,4,6,0,11.2,Low,No,0.0
114,42,No,Travel_Rarely,Research & Development,11,3,Other,4,Male,4,2,Laboratory Technician,9163,Single,4,Yes,11,3,0,19,0,3,4,1,26.4,Low,No,0.0
115,28,Yes,Travel_Rarely,Sales,6,2,Medical,3,Female,3,3,Sales Executive,5007,Single,1,Yes,12,3,1,2,6,2,2,2,67.0,High,Yes,30042.0
116,49,No,Travel_Rarely,Research & Development,11,3,Medical,1,Male,1,3,Research Scientist,8796,Divorced,1,No,14,3,2,28,5,3,2,2,23.8,Low,No,0.0
117,34,No,Non-Travel,Sales,3,4,Marketing,3,Female,4,4,Sales Representative,6212,Single,2,No,19,4,0,14,1,1,1,1,37.8,Medium,No,0.0
118,42,No,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Female,4,1,Manufacturing Director,6826,Married,5,No,20,3,0,18,3,3,2,0,39.0,Medium,No,0.0
119,37,No,Travel_Frequently,Research & Development,3,3,Life Sciences,4,Female,3,2,Manufacturing Director,7417,Married,2,No,17,3,1,27,1,3,9,1,22.4,Low,No,0.0
120,18,No,Travel_Rarely,Research & Development,8,4,Technical Degree,4,Female,1,1,Manufacturing Director,6501,Married,3,Yes,19,3,0,0,1,4,0,0,35.4,Medium,No,0.0
121,33,No,Travel_Frequently,Sales,11,4,Human Resources,3,Female,4,1,Sales Representative,8599,Divorced,2,No,13,3,0,13,3,3,1,1,21.5,Low,No,0.0
122,47,No,Travel_Rarely,Research & Development,2,3,Marketing,3,Female,4,1,Laboratory Technician,8170,Married,5,No,19,3,2,29,6,1,9,2,18.0,Low,No,0.0
123,35,No,Travel_Rarely,Human Resources,8,4,Other,3,Female,4,3,Manager,8058,Single,2,No,11,3,3,7,3,4,5,2,18.7,Low,No,0.0
124,43,No,Travel_Frequently,Research & Development,5,5,Marketing,4,Male,2,1,Manager,6319,Divorced,3,Yes,15,3,1,20,3,1,1,1,66.0,High,Yes,0.0
125,31,No,Travel_Frequently,Research & Development,1,2,Marketing,3,Male,3,4,Laboratory Technician,4705,Married,2,No,11,3,0,8,1,4,1,0,23.0,Low,No,0.0
126,38,No,Travel_Rarely,Research & Development,1,3,Other,1,Female,3,1,Laboratory Technician,4921,Married,3,No,13,3,2,17,0,3,0,0,40.3,Medium,No,0.0
127,38,No,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Male,2,1,Manufacturing Director,8507,Married,0,No,19,3,1,13,6,4,7,7,9.2,Low,No,0.0
128,36,No,Travel_Rarely,Research & Development,13,2,Human Resources,4,Female,2,2,Manufacturing Director,5626,Divorced,1,Yes,11,3,0,14,4,3,1,0,45.9,Medium,No,0.0
129,37,No,Non-Travel,Sales,6,2,Medical,3,Female,3,4,Sales Representative,6350,Divorced,2,No,11,4,1,23,2,2,4,0,34.1,Medium,No,0.0
130,49,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,3,4,Sales Executive,8098,Divorced,2,No,17,3,2,24,5,4,5,1,24.5,Low,No,0.0
131,43,No,Travel_Rarely,Sales,1,4,Other,1,Female,2,1,Sales Representative,10750,Married,0,No,16,3,3,24,3,3,13,1,23.3,Low,No,0.0
132,28,No,Travel_Frequently,Sales,4,2,Medical,2,Female,2,4,Sales Executive,7767,Divorced,1,Yes,20,3,0,7,2,4,7,0,33.6,Medium,No,0.0
133,25,No,Travel_Frequently,Sales,16,2,Medical,4,Male,4,3,Sales Representative,8669,Divorced,3,No,15,3,0,4,2,3,0,0,23.2,Low,No,0.0
134,20,No,Travel_Frequently,Research & Development,1,1,Marketing,3,Female,2,4,Manager,5737,Single,0,No,22,3,3,0,1,4,0,0,22.3,Low,No,0.0
135,38,No,Travel_Frequently,Research & Development,1,3,Human Resources,2,Male,4,3,Manufacturing Director,11031,Divorced,2,Yes,13,3,0,14,0,1,6,0,25.4,Low,No,0.0
136,24,No,Travel_Frequently,Research & Development,6,2,Other,3,Male,1,2,Manager,6186,Married,2,No,16,3,2,2,2,4,0,0,27.0,Low,No,0.0
137,26,No,Travel_Rarely,Research & Development,4,2,Marketing,4,Male,3,1,Laboratory Technician,5974,Divorced,2,Yes,13,3,2,3,3,4,3,3,40.2,Medium,No,0.0
138,29,Yes,Travel_Frequently,Sales,5,4,Marketing,1,Female,4,3,Manager,6292,Single,1,Yes,11,3,1,7,2,2,0,0,69.6,High,Yes,37752.0
139,45,Yes,Travel_Rarely,Research & Development,11,3,Medical,4,Female,4,2,Healthcare Representative,7401,Single,2,Yes,16,4,1,22,4,2,5,0,51.4,Medium,Yes,44406.0
140,48,No,Travel_Rarely,Research & Development,1,1,Human Resources,4,Male,1,1,Manufacturing Director,12409,Married,2,No,14,3,1,28,5,2,28,0,20.0,Low,No,0.0
141,33,No,Travel_Rarely,Sales,1,3,Medical,3,Male,3,4,Sales Executive,10051,Single,1,Yes,11,3,1,9,3,3,9,6,17.4,Low,No,0.0
142,44,No,Travel_Rarely,Sales,4,3,Technical Degree,4,Male,1,1,Sales Executive,8642,Single,2,No,16,3,0,22,2,4,1,0,26.1,Low,No,0.0
143,29,No,Travel_Frequently,Sales,1,3,Medical,4,Male,4,4,Sales Executive,10021,Single,0,No,16,3,0,4,4,3,2,2,16.4,Low,No,0.0
144,18,No,Travel_Rarely,Sales,3,3,Other,1,Male,3,3,Manager,4971,Divorced,3,No,22,3,2,0,0,4,0,0,28.2,Low,No,0.0
145,45,No,Travel_Rarely,Sales,2,4,Human Resources,2,Female,3,1,Manager,8824,Married,4,No,11,3,0,23,2,2,1,1,33.9,Medium,No,0.0
146,37,No,Travel_Rarely,Research & Development,13,3,Technical Degree,2,Male,2,1,Research Scientist,7417,Single,2,No,16,3,2,16,6,4,9,1,27.4,Low,No,0.0
147,29,No,Travel_Rarely,Research & Development,10,3,Human Resources,1,Male,2,4,Research Director,7457,Married,1,Yes,18,4,1,5,1,1,5,2,49.6,Medium,No,0.0
148,49,No,Non-Travel,Sales,1,1,Other,2,Female,1,4,Manager,8322,Married,3,Yes,15,3,1,29,4,3,2,2,38.2,Medium,No,0.0
149,44,No,Travel_Rarely,Sales,8,4,Technical Degree,4,Female,2,4,Sales Executive,7132,Married,1,Yes,11,3,0,20,3,4,2,2,30.2,Medium,No,0.0
150,35,No,Travel_Rarely,Research & Development,5,2,Medical,1,Female,4,2,Manufacturing Director,3265,Married,5,No,18,3,2,10,4,4,1,1,34.4,Medium,No,0.0
151,43,Yes,Travel_Rarely,Sales,1,1,Technical Degree,3,Male,4,1,Manager,7238,Single,1,No,21,4,0,17,4,2,2,2,59.2,Medium,Yes,43428.0
152,33,No,Travel_Rarely,Sales,3,1,Human Resources,4,Female,1,3,Sales Executive,10008,Divorced,3,Yes,12,3,0,9,1,2,5,0,28.1,Low,No,0.0
153,39,No,Travel_Rarely,Research & Development,1,3,Medical,4,Female,3,4,Laboratory Technician,8216,Divorced,3,No,12,3,1,10,5,2,1,0,22.7,Low,No,0.0
154,27,Yes,Travel_Rarely,Research & Development,1,2,Medical,1,Male,1,2,Manager,7127,Single,3,No,13,3,0,4,2,3,3,3,51.1,Medium,Yes,42762.0
155,49,No,Travel_Rarely,Research & Development,4,2,Marketing,2,Female,1,3,Research Director,6048,Single,1,Yes,15,3,0,28,3,1,3,0,63.5,High,Yes,0.0
156,38,No,Non-Travel,Research & Development,1,1,Other,2,Male,2,3,Research Scientist,8321,Married,6,No,20,3,0,10,0,4,2,2,24.7,Low,No,0.0
